,E_Mail,Label
0,"['42', '14', '·', '✔', '•', '12', '←', '17', '—', '►', 'Download', 'Teşekkürler', '26', 'Anasayfa', 'PDF', 'Devamı', '22', '—', 'PDF', '”', '”', '21', 'İzlediğiniz', '✔', '→', 'Selamlar', 'Devamı', '41', '“', '•', '24', '→', '♦', '•', '→', '—', '61', '…', '1', '3', '→', '61', '360', '•', '…', '12', '19', '•', '●', 'Anasayfa', '22', 'Devamı', '”', '·', '»', '360', '●', '→', '→', '•', 'PDF', '2', '14', '—', 'Download', '»', '♦', '»', '“', 'Haberler', '•', 'Cevapları', 'Haberler', '—', '10', '—', 'PDF', '»', '·', '5', '●', 'Download', '36', 'Ayrıca', '”', '—', '•', '😀', 'PDF', '·', '•', '•', '·', '”', '4', '✓', '7', '5', '19', '16', '»', '—', '”', '—', 'Devamı', '[UNK]', 'Mevlana', 'Devamı', '→', '26', '●', '6', '69', '😉', 'Download', '26', 'Devamı', '»', 'İzlediğiniz', '69', '😀', '→', 'Devamı', '18', '😀', '›', '”', '—', '”', 'Devamı', '»', '✔', 'Neden', '😊', 'Download', '13', '10', 'Home', '😀', '»', '§', '♥', '■', 'Devamı', '●', '13', '·', '→', '3', '2', 'Devamı', 'Download', '43', '←', '22', 'Bu', '♦', 'Cevap', '😉', 'Devamı', '17', '·', '”', '♦', '360', '•', '·', 'Devamı', '43', 'Devamı', '”', '5', '😉', 'Anasayfa', 'PDF', '″', '9', '[UNK]', '23', 'n', '9', '■', '§', '41', '🙂', '»', '🙂', '←', '●', '14', '41', '”', '✓', '—', '🙂', 'Haberler', '2017', '→', '3', '·', '»', '7', 'Download', '→', '·', '→', '5', '—', '•', '»', '♥', '2017', '•', '18', '😀', '😀', '19', '•', '→', '←', '🙂', '…', '23', '←', '”', '►', '19', '✔', 'Devamı', '—', 'Devamı', '•', '12', 'Devamı', '73', '·', '”', '—', '•', '“', 'Devamı', 'Download', '→', 'Neden', '»', '→', '·', '→', 'İzlediğiniz', '♥', 'Devamı', '22', '—', '·', '73', '→', '26', '23', '■']",ham
1,"['Selamlar', 'PDF', '19', '6', '82', '→', '”', '11', 'PDF', 'Devamı', 'Etiketler', '–', '»', '[UNK]', '28', '—', 'PDF', '→', 'Download', '73', '←', '26', 'PDF', '”', '§', '•', '13', 'Devamı', '14', '😀', '»', '6', 'Mevlana', '23', '»', 'Devamı', '😀', '·', '43', '♥', '24', 'Home', '·', 'PDF', '14', 'Mevlana', '•', '19', '8', '✓', 'Home', '360', '—', '•', 'Devamı', '15', '27', '3', '←', '8', '→', 'Devamı', 'Devamı', '•', '→', 'Mevlana', '19', '•', '■', 'Home', 'Selamlar', '23', 'Teşekkürler', '10', 'Haberler', '›', '24', '13', '•', 'Yoksa', '10', '•', '•']",ham
2,"['←', '17', '8', '7', '18', '•', '—', '•', '1', '18', '5', 'PDF']",ham
3,"['»', '10', '›', '25', '»', '…', 'Devamı', '14', '24', '6', '✔', '→', 'Neden', 'Download', '·']",ham
4,"['»', '”', '74', '23', 'Download', '“', '•', 'Download', '15', '”', '·', 'Download', '19', '22', '→', 'Download', '»', '√', '😀', '27', '·', '4', '»', '”', '→', 'Neden', '→', '26', '24', 'Devamı', '“', '●', 'Devamı', '→', '►', '13', '■', '2', '•', '23', '›', 'Download', '–', '♥', 'Haberler', '28', '“', 'Devamı', '—', 'Bu', '●', '■', '–', 'Anasayfa', 'Devamı', '″', 'Devamı', '—', '16', 'Home', '9', '✔', '»', 'Bu', '–', '–', '→', '»', '•', '43', '»', '→', '13', '→', '…', '2', '…', 'PDF', '—', '9', '✔', '·', '14', 'Devamı', '—', '😀', '23', '8', '»', '27', 'Devamı', 'Devamı', '28', '»', 'Download', 'Download', '🙂', '19', '69', 'Devamı', '—', 'Devamı', '→', '✔', 'Download', '—', 'Devamı', '21', '[UNK]', '●', '3', '—', '41', '—', '—', '§', 'PDF', 'Neden', '43', '»', '–', '13', '»', '😀', 'Cevap', '·', '73', '—', '→', '…', 'Download', 'Ayrıca', '24', '16', '—', 'Devamı', '»', 'Mevlana', '•', '14', '19', 'Devamı', '”', '19', '•', '—', '🙂', '26', '♥', '✔', '—', 'Devamı', '—', '■', '2', '•', '”', '😀', '►', '”', '😉', '10', 'Teşekkürler', 'Cevap', '•', '·', 'Devamı', '·', '→', '…', '″', '»', '😉', '–', 'Cevapları', 'Devamı', '”', '✔', 'Devamı', '“', 'Devamı', '😀', '″', '74', '›', '►', 'Devamı', '·', '·', '•', 'n', '»', 'Devamı', 'Devamı', '»', '→', '22', '»', 'Devamı', '2', '•', '—', '✔', 'Download', '·', 'PDF', 'Devamı', '–', '✔', '–', 'Devamı', '43', '»', '”', 'Devamı', '18', 'Devamı', '19', 'Teşekkürler', '42', '23', '→', '♥', '✔', '6', '›', '😊', '28', '♥', 'Devamı', '✔', '←', '🙂', '27', '♥', '›', '—', 'Download', '»', 'Download', 'İzlediğiniz', '”', '—', '73', '“', '21', '·', '43', '19', '22', 'Haberler', '—', '17', 'İzlediğiniz', '”', '·', '36', '19', 'Devamı', '■', '42', '“', '►', '19', '√', 'Anasayfa', 'Devamı', 'Devamı', '■', '←', '10', 'Devamı', '·', '»', '•', '»', '←', '23', '●', '§', 'Teşekkürler', '”', '»', 'PDF', '»', '·', '→', '🙂', '»', '■', '✔', 'PDF', '—', 'Devamı', '→', '►', 'Devamı', '»', '…', '”', '23', '6', '13', 'Devamı', 'Download', '“', 'Devamı', '21', '■', '14', '»', '[UNK]', '●', '10', 'Mevlana', '22', '[UNK]', 'Cevapları', '74', '→', '✔', '♥', '•', '28', 'Devamı', 'Devamı', 'Devamı', '🙂', '12', '·', '14', '4', '″', '8', 'Devamı', '»', '11', 'Devamı', '→', 'Download', '”', 'PDF', '41', '●', 'Yoksa', '—', '″', '23', '√', 'Home', '●', '8', '29', '■', 'Yoksa', 'Anasayfa', '►', '←', '74', '13', 'İzlediğiniz', 'Devamı', '18', '●', '✓', '»', '10', '•', 'İzlediğiniz', 'PDF', '13', '15', '2017', '·', '”', '10', '←', '›', '360', '»', 'PDF', '2017', '■', '§', '”', '•', '→', '›', '…', '√', '•', 'PDF', 'Devamı', '”', '27', '”', '♥', '“', '19', 'Home', 'Home', '27', '74', '8', '”', '–', '■', '”', '12', 'Devamı', 'Devamı', '•', '·', '360', 'Etiketler', '✔', '»', '16', '»', '•', '12', '·', '😊', '9', '·', '19', '→', 'PDF', '18', 'PDF', '·', '6', 'PDF', '–', '”', 'PDF', 'Devamı', '18', '26', 'Yoksa', '74', 'Download', '21', '→', '—', '—', '19', '✔', '–', '✔', 'Devamı', 'Devamı', '”', '•', '•', '—', '17', '·', '→', '24', 'Devamı', 'Teşekkürler', '✔', '•', 'Devamı', 'PDF', '9', '21', 'PDF', '”', '»', 'PDF', '”', '→', '←', 'PDF', 'Download', '—', '»', '🙂', 'Download', '·', '”', '·', 'PDF', 'Devamı', 'Devamı', '•', '←', 'Download', '2', '–', '19', '✔', '”', '→', '—', 'Devamı', '·', '●', '🙂', '😊']",ham
5,"['Devamı', 'Download', '6', '”', 'Anasayfa', '·', '—', '82', '22', '13', '·', 'Download', '›', 'PDF', '—', '•', '·', '14', 'Anasayfa', 'Devamı', '→', '…', '8', '17', '✔', 'Haberler', 'Teşekkürler', '–', '…', 'Download', 'PDF', '→', '😀', 'PDF', '😊', '·', '—', '—', '·', '9', 'Mevlana', 'Devamı', '😉', '😉', 'Neden', '74', '♦', '15', 'Download', 'Haberler', '·', '—', '16', '—', '—', '·', 'Devamı', 'PDF', '←', '14', '360', '17', '»', '”', '22', '🙂', '28', '19', '”', '19', '…', '●', '😀', '🙂', '●', '»', 'Download', '17', 'Devamı', '›', 'Download', 'PDF', '→', '“', '»', '•', 'Bu', '—', 'Devamı', '”', '72', '»', 'Devamı', '§', '·', '—', '»', '82', '19', '9', '←', '61', '•', '24', '—', 'Devamı', 'Haberler', '→', 'PDF', '😀', 'Download', '›', 'Devamı', '21', '—', '”', '”', 'Cevap', 'Devamı', '●', '✔', '»', 'Cevapları', '–', '—', '•', '10', '“', 'Download', 'Devamı', 'Home', 'Download', '·', '›', 'PDF', '·', '9', '11', 'Download', 'PDF', '•', 'PDF', '—', '·', 'Ayrıca', '”', '→', '18', '12', '›', '♥', '4', '♦', 'PDF', '17', 'Devamı', '15', 'Download', '»', '•', '”', 'Devamı', '”', '←', '—', '→', '28', '—', '6', '»', '■', '•', 'Devamı', '”', '›', '10', 'PDF', '24', '39', '2017', '•', 'Devamı', '→', '😊', 'Download', '»', '8', '✔', '74', '14', 'PDF', '✔', 'Haberler', '♥', '”', 'Devamı', '15', '9', 'Devamı', '1', '»', '•', '←', '“', 'Home', '42', '●', '16', '•', 'Ayrıca', 'Download', '28', '•', 'Download', 'Download', '72', '28']",ham
6,"['PDF', '»', '23', 'PDF', '›', 'Anasayfa', '1', 'Home', '●', 'Download', '←', '3', 'PDF', 'Cevapları', 'PDF', '■', 'Devamı', '✔', '11', '72', '6', '2017', 'Devamı', '“', '22', 'Anasayfa', '→', 'PDF', '—', 'PDF', '•', '·', '5', '—', '23', '»', '19', 'Ayrıca', '←', '»', '←', '9', '■', '●', '22', '→', '←', '”', '»', '·', 'Download', '●', '→', '·', '›', '→', '✔', '●', '9', '61', '1', '→', '26', '■', '—', '73', '–', 'Devamı', 'Download', '–', '—', '26', 'Download', 'Teşekkürler', '72', 'Download', '·', '■', '”', 'Home', '2', 'Devamı', '8', '»', '26', '·', '✔', '»', '19', 'Devamı', 'Etiketler', '😀', '”', '✔', 'Devamı', 'İzlediğiniz', '”', '6', 'Yoksa', '—', '♥', '22', '•', '”', '»', '23']",spam
7,"['22', '“', '—', '—', '›', '🙂', '√', '15', '►', 'PDF', '»', 'Devamı', '·', '—', '►', 'Cevapları', '“', '82', '26', '39', '26', '23', '•', '→', '§', '”', 'Cevapları']",ham
8,[],ham
9,"['Devamı', '→', '2', 'PDF', 'Neden', '😀', 'Devamı', '♥', 'İzlediğiniz', 'Cevapları', 'Haberler', '●', 'Devamı', '→', '15', 'Devamı', '✔', '•', 'Home', 'Devamı', '·', '»', '●', 'Devamı', '—', '✔', '●', '13', 'Devamı', 'PDF', '§', '29', '”', '←', '23', '→', 'PDF', 'Devamı', '●', '73', '😀', '”', '4', '😀', '6', '►', '26', 'Devamı', '11', '§', 'Devamı', '›', 'Haberler', '→', 'Mevlana', '•', '😊', '»', '3', '9', '13', '🙂', 'Download', '·', 'Selamlar', 'Download', '►', 'Bu', '11', '—', '14', 'Download', 'Devamı', '28', '♥', '😀', 'PDF', '•', 'PDF', 'Download', '24', 'Haberler', 'Devamı', '”', '”', 'Devamı', '»', 'Devamı', '39', '✓', '←', '»', 'Mevlana', '·', '11', '74', 'Devamı', 'Devamı', '←', 'PDF', 'Download']",spam
